measurement,average_power
wemos-only,218.38166447950684
wemos-only,218.38166447950684
wemos-only,216.2565996276742
wemos-only,219.75670644245739
wemos-only,224.50685140537738
wemos-only,224.50685140537738
wemos-only,288.3838007751702
wemos-only,228.13196203497424
wemos-only,228.00695822016053
wemos-only,228.00695822016053
wemos-only,219.75670644245739
wemos-only,216.2565996276742
wemos-only,219.13168736838895
wemos-only,217.88164922025211
wemos-only,217.88164922025211
wemos-only,216.88161870174264
wemos-only,216.63161107211525
wemos-only,225.1318704794458
wemos-only,225.1318704794458
wemos-only,223.63182470168158
wemos-only,219.50669881283
wemos-only,215.6315805536058
wemos-only,215.6315805536058
wemos-only,219.50669881283
wemos-only,218.88167973876156
wemos-only,214.38154240546893
wemos-only,214.38154240546893
wemos-only,220.75673696096683
wemos-only,229.63200781273846
wemos-only,241.2573625904111
wemos-only,230.8820459608753
wemos-only,230.8820459608753
wemos-only,217.7566454054384
wemos-only,234.75716422009953
wemos-only,235.13217566454057
wemos-only,235.13217566454057
wemos-only,217.7566454054384
wemos-only,231.38206122013003
wemos-only,230.25702688680687
wemos-only,230.25702688680687
wemos-only,216.88161870174264
wemos-only,230.8820459608753
wemos-only,230.8820459608753
wemos-only,230.8820459608753
wemos-only,217.25663014618368
wemos-only,216.63161107211525
wemos-only,231.00704977568898
wemos-only,230.25702688680687
wemos-only,230.25702688680687
wemos-only,216.63161107211525
wemos-only,239.88232062746056
wemos-only,229.75701162755215
wemos-only,229.75701162755215
wemos-only,216.88161870174264
wemos-only,230.8820459608753
wemos-only,230.8820459608753
wemos-only,230.8820459608753
wemos-only,216.63161107211525
wemos-only,273.383342997528
wemos-only,231.00704977568898
wemos-only,230.63203833124794
wemos-only,230.63203833124794
wemos-only,216.88161870174264
wemos-only,231.38206122013003
wemos-only,229.75701162755215
wemos-only,229.75701162755215
wemos-only,216.63161107211525
wemos-only,231.00704977568898
wemos-only,230.8820459608753
wemos-only,230.8820459608753
wemos-only,216.88161870174264
wemos-only,231.38206122013003
wemos-only,230.8820459608753
wemos-only,230.8820459608753
wemos-only,216.88161870174264
wemos-only,225.2568742942595
wemos-only,231.00704977568898
wemos-only,230.8820459608753
wemos-only,230.8820459608753
wemos-only,217.7566454054384
wemos-only,231.00704977568898
wemos-only,231.25705740531635
wemos-only,231.25705740531635
wemos-only,217.25663014618368
wemos-only,231.88207647938478
wemos-only,230.8820459608753
wemos-only,230.8820459608753
wemos-only,217.88164922025211
wemos-only,230.8820459608753
wemos-only,230.8820459608753
wemos-only,217.88164922025211
wemos-only,217.88164922025211
wemos-only,217.88164922025211
wemos-only,231.38206122013003
wemos-only,230.38203070162055
wemos-only,230.38203070162055
wemos-only,234.75716422009953
wemos-only,231.88207647938478
wemos-only,230.25702688680687
wemos-only,230.25702688680687
wemos-only,217.50663777581104
wemos-only,231.38206122013003
wemos-only,231.25705740531635
wemos-only,231.25705740531635
wemos-only,217.88164922025211
wemos-only,230.8820459608753
wemos-only,231.88207647938478
wemos-only,231.25705740531635
wemos-only,231.25705740531635
wemos-only,217.50663777581104
wemos-only,231.38206122013003
wemos-only,230.8820459608753
wemos-only,230.8820459608753
wemos-only,217.25663014618368
wemos-only,231.88207647938478
wemos-only,230.8820459608753
wemos-only,230.8820459608753
wemos-only,216.88161870174264
wemos-only,231.38206122013003
wemos-only,231.25705740531635
wemos-only,231.25705740531635
wemos-only,217.50663777581104
wemos-only,217.50663777581104
wemos-only,231.38206122013003
wemos-only,230.8820459608753
wemos-only,230.8820459608753
wemos-only,217.25663014618368
wemos-only,231.38206122013003
wemos-only,231.25705740531635
wemos-only,231.25705740531635
wemos-only,217.88164922025211
wemos-only,230.8820459608753
wemos-only,231.38206122013003
wemos-only,231.38206122013003
wemos-only,217.50663777581104
wemos-only,231.00704977568898
wemos-only,230.8820459608753
wemos-only,232.63209936826686
wemos-only,232.63209936826686
wemos-only,217.50663777581104
wemos-only,230.8820459608753
wemos-only,230.63203833124794
wemos-only,230.63203833124794
wemos-only,217.88164922025211
wemos-only,231.00704977568898
wemos-only,230.38203070162055
wemos-only,230.38203070162055
wemos-only,216.88161870174264
wemos-only,230.8820459608753
wemos-only,231.25705740531635
wemos-only,231.25705740531635
wemos-only,216.88161870174264
wemos-only,217.25663014618368
wemos-only,231.88207647938478
wemos-only,385.511764885403
wemos-only,385.511764885403
wemos-only,217.88164922025211
wemos-only,231.00704977568898
wemos-only,231.25705740531635
wemos-only,231.25705740531635
wemos-only,217.88164922025211
wemos-only,235.38218329416793
wemos-only,235.75719473860897
wemos-only,235.75719473860897
wemos-only,219.75670644245739
wemos-only,231.00704977568898
wemos-only,231.00704977568898
wemos-only,231.00704977568898
wemos-only,230.25702688680687
wemos-only,217.50663777581104
wemos-only,231.00704977568898
wemos-only,231.25705740531635
wemos-only,231.25705740531635
wemos-only,216.88161870174264
wemos-only,230.8820459608753
wemos-only,231.38206122013003
wemos-only,231.38206122013003
wemos-only,217.25663014618368
wemos-only,230.8820459608753
wemos-only,230.38203070162055
wemos-only,230.38203070162055
wemos-only,216.88161870174264
wemos-only,230.8820459608753
wemos-only,230.8820459608753
wemos-only,230.8820459608753
wemos-only,230.8820459608753
wemos-only,217.88164922025211
wemos-only,230.8820459608753
wemos-only,226.7569200720237
wemos-only,226.7569200720237
wemos-only,217.88164922025211
wemos-only,233.13211462752162
wemos-only,230.38203070162055
wemos-only,230.38203070162055
wemos-only,216.88161870174264
wemos-only,231.25705740531635
wemos-only,235.88219855342268
wemos-only,235.88219855342268
wemos-only,217.25663014618368
wemos-only,295.1340067751091
